c Eternity II edge matching puzzle: 16x16, with 16 colors

p tile 16 16

1 5 0 0
1 2 0 0
3 5 0 0
5 3 0 0
6 1 0 1
12 3 0 1
9 1 0 1
9 4 0 1
13 5 0 1
10 2 0 1
16 3 0 1
11 2 0 1
11 4 0 1
21 2 0 1
12 1 0 3
18 5 0 3
15 4 0 3
19 4 0 3
10 3 0 3
16 3 0 3
8 2 0 3
14 1 0 3
14 4 0 3
20 1 0 3
21 1 0 3
6 3 0 5
6 5 0 5
12 5 0 5
18 5 0 5
10 4 0 5
16 3 0 5
20 5 0 5
11 3 0 5
11 2 0 5
17 4 0 5
22 2 0 5
18 1 0 2
7 4 0 2
13 4 0 2
19 3 0 2
19 5 0 2
16 1 0 2
16 3 0 2
16 5 0 2
8 1 0 2
20 2 0 2
11 2 0 2
17 2 0 2
6 4 0 4
12 1 0 4
12 3 0 4
9 1 0 4
10 2 0 4
8 2 0 4
8 4 0 4
11 5 0 4
17 1 0 4
17 4 0 4
21 3 0 4
22 5 0 4
9 18 6 6
15 10 6 6
12 7 6 12
6 11 6 18
18 22 6 18
15 15 6 18
13 12 6 18
20 9 6 18
22 11 6 18
7 10 6 7
10 14 6 7
15 18 6 13
16 8 6 13
20 16 6 13
11 7 6 13
15 16 6 19
19 16 6 19
7 17 6 10
20 7 6 10
17 21 6 10
19 18 6 16
18 18 6 8
13 8 6 8
18 19 6 14
9 15 6 14
11 14 6 14
17 20 6 14
6 21 6 20
9 22 6 20
8 17 6 20
13 14 6 11
19 16 6 11
19 8 6 11
8 21 6 11
14 15 6 11
21 7 6 21
8 19 6 22
20 11 6 22
21 9 6 22
22 21 6 22
14 16 12 12
14 17 12 12
17 19 12 12
22 9 12 12
8 16 12 18
7 11 12 9
19 11 12 9
8 16 12 9
17 13 12 9
16 14 12 15
14 16 12 15
20 17 12 7
20 19 12 7
15 8 12 13
10 14 12 13
14 13 12 13
22 17 12 13
7 21 12 19
17 14 12 10
11 22 12 16
15 22 12 8
9 17 12 20
15 19 12 20
20 16 12 20
14 22 12 11
21 16 12 11
15 9 12 17
19 21 12 17
8 7 12 17
20 11 12 17
9 20 12 21
14 15 12 21
15 17 12 22
13 8 12 22
8 7 12 22
17 20 12 22
20 10 18 18
9 7 18 9
9 13 18 9
9 14 18 9
19 21 18 9
16 9 18 9
17 14 18 9
21 21 18 9
7 8 18 15
18 14 18 7
18 22 18 7
7 15 18 7
16 14 18 7
9 13 18 19
8 22 18 19
13 13 18 10
13 19 18 10
22 17 18 10
10 10 18 8
10 14 18 8
22 10 18 8
10 17 18 20
11 9 18 20
21 21 18 11
9 20 18 17
15 20 18 17
16 13 18 22
8 17 18 22
7 8 9 15
8 11 9 15
7 7 9 13
13 16 9 19
19 21 9 19
8 11 9 10
20 17 9 10
21 13 9 10
16 16 9 16
14 20 9 16
10 21 9 8
10 19 9 14
15 8 9 20
14 17 9 11
11 16 9 11
10 17 9 17
13 17 9 21
21 10 13 9
15 19 11 15
22 10 15 7
19 14 15 13
11 11 15 13
21 10 15 19
15 21 15 10
7 19 15 10
17 19 15 10
7 7 15 16
16 20 15 16
13 10 15 8
21 13 15 14
21 22 15 14
22 16 15 14
13 22 15 20
19 11 15 20
20 20 15 20
19 7 15 11
21 11 15 17
22 10 15 17
14 19 15 21
14 11 15 21
17 7 15 21
22 21 15 21
22 10 7 7
19 22 7 13
11 16 7 13
13 19 7 10
17 16 7 10
7 17 7 16
11 11 7 8
7 20 7 14
8 22 7 14
22 21 7 14
19 16 7 20
8 14 7 17
13 8 7 21
13 17 7 22
21 21 7 22
21 22 7 22
14 22 13 13
20 10 13 13
17 16 13 13
19 16 13 10
14 14 13 10
19 11 13 8
10 22 13 20
17 11 13 20
14 20 13 11
14 21 13 11
19 20 19 19
17 8 19 10
10 8 19 8
10 20 19 8
14 16 19 8
8 17 19 14
16 22 19 20
21 16 19 20
10 21 19 11
8 21 19 11
16 14 10 16
20 11 10 16
22 20 10 8
17 22 10 21
21 22 16 16
14 8 16 8
8 21 16 14
17 21 16 20
22 11 8 8
11 14 8 14
17 20 14 11
21 17 20 17
17 22 20 22
21 22 11 22
