c generated randomly
c 8x8 board with 9 colors
p tile 8 8
0 2 1 0
0 1 9 2
0 1 5 1
0 3 6 1
0 2 8 3
0 2 6 2
0 3 4 2
0 0 1 3
1 2 2 0
9 8 6 2
5 7 5 8
6 6 5 7
8 6 1 6
6 7 7 6
4 2 1 7
1 0 2 2
2 1 1 0
6 3 1 1
5 4 4 3
5 4 8 4
1 4 4 4
7 5 9 4
1 3 6 5
2 0 1 3
1 3 3 0
1 7 7 3
4 5 8 7
8 6 1 5
4 1 2 6
9 2 2 1
6 3 7 2
1 0 1 3
3 3 3 0
7 4 4 3
8 8 8 4
1 2 3 8
2 4 8 2
2 2 9 4
7 2 1 2
1 0 3 2
3 2 2 0
4 5 3 2
8 1 2 5
3 2 3 1
8 6 2 2
9 4 9 6
1 2 4 4
3 0 1 2
2 1 3 0
3 2 8 1
2 2 8 2
3 9 7 2
2 3 1 9
9 7 1 3
4 2 4 7
1 0 1 2
3 1 0 0
8 2 0 1
8 2 0 2
7 1 0 2
1 1 0 1
1 3 0 1
4 1 0 3
1 0 0 1

